grid_row,grid_col,count,approx_lat,approx_lon
17,8,299,50.835722499999996,4.3426685
17,9,367,50.835722499999996,4.346229500000001
17,10,368,50.835722499999996,4.3497905
17,11,451,50.835722499999996,4.3533515000000005
17,12,1572,50.835722499999996,4.3569125
17,13,102,50.835722499999996,4.3604735
17,14,324,50.835722499999996,4.3640345
17,15,1427,50.835722499999996,4.3675955
17,16,345,50.835722499999996,4.3711565000000006
17,17,343,50.835722499999996,4.3747175
17,18,249,50.835722499999996,4.3782785
17,19,357,50.835722499999996,4.3818395
17,20,283,50.835722499999996,4.3854005
17,21,246,50.835722499999996,4.388961500000001
17,22,542,50.835722499999996,4.3925225
17,23,205,50.835722499999996,4.3960835000000005
17,24,178,50.835722499999996,4.3996445
17,25,268,50.835722499999996,4.4032055
17,26,77,50.835722499999996,4.4067665
17,27,260,50.835722499999996,4.4103275
17,28,304,50.835722499999996,4.4138885000000005
17,29,100,50.835722499999996,4.4174495
17,30,160,50.835722499999996,4.4210105
17,31,23,50.835722499999996,4.4245715
17,32,139,50.835722499999996,4.4281325
17,33,9,50.835722499999996,4.431693500000001
17,34,34,50.835722499999996,4.4352545
17,35,23,50.835722499999996,4.4388155000000005
17,40,143,50.835722499999996,4.4566205000000005
17,44,24,50.835722499999996,4.4708645
18,-16,24,50.8379695,4.2572045
18,-10,294,50.8379695,4.2785705
18,-9,48,50.8379695,4.2821315
18,-8,24,50.8379695,4.285692500000001
18,-7,17,50.8379695,4.2892535
18,-6,527,50.8379695,4.2928145
